ID,WorkStatus,Score,Residence_Region,income,Gender,Alcohol_Consumption,Happy
10000123,keeping house,46,middle atlantic,$10000 - 14999,1,Once a month,Pretty Happy
10000125,working fulltime,29,foreign,$15000 - 19999,1,2 - 3 times a month,Pretty Happy
10000126,working fulltime,42,foreign,$15000 - 19999,0,Multiple times in a week,Not Happy
10000127,working parttime,36,middle atlantic,$10000 - 14999,1,Once a month,Not Happy
10000130,working fulltime,44,foreign,$10000 - 14999,0,Rarely,Very Happy
10000132,working fulltime,46,middle atlantic,$15000 - 19999,1,2 - 3 times a month,Pretty Happy
10000134,working fulltime,75,middle atlantic,$25000 or more,1,Occassional,Pretty Happy
10000135,working fulltime,51,foreign,$25000 or more,0,Occassional,Very Happy
10000137,working fulltime,73,south atlantic,$25000 or more,0,Once a week,Pretty Happy
10000138,working fulltime,41,middle atlantic,$25000 or more,1,2 - 3 times a month,Pretty Happy
10000140,keeping house,59,e. nor. central,$25000 or more,1,Rarely,Very Happy
10000141,retired,35,middle atlantic,NA,0,0,Not Happy
10000142,working parttime,46,new england,$25000 or more,0,Never,Pretty Happy
10000143,working parttime,47,middle atlantic,$10000 - 14999,0,Never,Pretty Happy
10000144,working parttime,74,middle atlantic,$25000 or more,0,Multiple times in a week,Not Happy
10000145,working fulltime,44,middle atlantic,$25000 or more,0,Occassional,Pretty Happy
10000146,retired,52,new england,NA,0,Occassional,Pretty Happy
10000147,working fulltime,74,middle atlantic,$25000 or more,0,Once a week,Pretty Happy
10000148,working fulltime,44,foreign,NA,0,Once a week,Pretty Happy
10000150,keeping house,NA,foreign,$3000 to 3999,1,0,Not Happy
10000152,working fulltime,64,w. sou. central,NA,1,Once a week,Pretty Happy
10000153,keeping house,41,middle atlantic,$8000 to 9999,1,Once a month,Pretty Happy
10000154,working fulltime,42,middle atlantic,$25000 or more,0,Multiple times in a week,Pretty Happy
10000157,keeping house,60,middle atlantic,$25000 or more,1,Multiple times in a week,Not Happy
10000158,working fulltime,44,middle atlantic,$25000 or more,1,0,Not Happy
10000160,other,32,middle atlantic,$5000 to 5999,0,2 - 3 times a month,Not Happy
10000163,keeping house,59,middle atlantic,$25000 or more,1,Once a week,Very Happy
10000164,working fulltime,64,middle atlantic,$25000 or more,1,Once a week,Pretty Happy
10000166,retired,60,middle atlantic,$25000 or more,1,Never,Pretty Happy
10000167,temp not working,28,foreign,NA,1,2 - 3 times a month,Not Happy
10000169,keeping house,29,foreign,NA,1,0,Not Happy
10000170,school,29,foreign,$3000 to 3999,0,0,Not Happy
10000172,keeping house,52,south atlantic,$1000 to 2999,1,Multiple times in a week,Not Happy
10000174,working fulltime,42,middle atlantic,$25000 or more,0,Once a month,Pretty Happy
10000175,retired,50,south atlantic,NA,0,0,Not Happy
10000177,working fulltime,51,middle atlantic,$25000 or more,1,Occassional,Pretty Happy
10000178,working fulltime,31,middle atlantic,$25000 or more,0,Never,Very Happy
10000179,working fulltime,30,foreign,$25000 or more,0,Occassional,Very Happy
10000182,working fulltime,22,foreign,$25000 or more,0,Once a week,Pretty Happy
10000183,working fulltime,17,foreign,NA,0,Once a week,Pretty Happy
10000184,keeping house,NA,south atlantic,NA,1,Rarely,Pretty Happy
10000185,working fulltime,41,south atlantic,NA,1,Never,Pretty Happy
10000186,retired,40,south atlantic,$25000 or more,0,Occassional,Pretty Happy
10000188,working fulltime,40,middle atlantic,$25000 or more,0,Once a week,Pretty Happy
10000189,working fulltime,42,foreign,NA,1,2 - 3 times a month,Very Happy
10000192,other,37,middle atlantic,$15000 - 19999,0,2 - 3 times a month,Pretty Happy
10000194,keeping house,31,middle atlantic,$8000 to 9999,1,Never,Pretty Happy
10000197,working parttime,36,middle atlantic,$8000 to 9999,1,Never,Pretty Happy
10000198,working parttime,17,middle atlantic,$5000 to 5999,1,Once a week,Pretty Happy
10000200,working fulltime,61,w. nor. central,$25000 or more,0,2 - 3 times a month,Very Happy
10000204,working parttime,23,new england,$8000 to 9999,1,Once a month,Pretty Happy
10000208,temp not working,66,w. sou. central,NA,1,Rarely,Pretty Happy
10000211,working parttime,23,foreign,$25000 or more,1,2 - 3 times a month,Very Happy
10000213,keeping house,46,middle atlantic,$25000 or more,1,2 - 3 times a month,Very Happy
10000217,working fulltime,64,middle atlantic,$25000 or more,1,Once a month,Pretty Happy
10000220,working fulltime,51,middle atlantic,$25000 or more,1,Occassional,Pretty Happy
10000222,keeping house,47,south atlantic,$15000 - 19999,1,2 - 3 times a month,Pretty Happy
10000226,working fulltime,65,middle atlantic,$25000 or more,1,2 - 3 times a month,Very Happy
10000227,working fulltime,44,middle atlantic,$25000 or more,1,Once a month,Not Happy
10000228,keeping house,NA,middle atlantic,NA,1,Multiple times in a week,Not Happy
10000231,temp not working,32,middle atlantic,$20000 - 24999,1,Occassional,Pretty Happy
10000232,school,66,middle atlantic,$25000 or more,1,Rarely,Pretty Happy
10000234,retired,74,middle atlantic,NA,0,Occassional,Pretty Happy
10000235,working fulltime,49,middle atlantic,$25000 or more,0,Once a week,Very Happy
10000236,working fulltime,51,middle atlantic,$25000 or more,0,Occassional,Pretty Happy
10000238,working fulltime,22,middle atlantic,$15000 - 19999,0,Rarely,Very Happy
10000239,working fulltime,27,middle atlantic,$20000 - 24999,0,Multiple times in a week,Very Happy
10000241,keeping house,NA,middle atlantic,$20000 - 24999,1,0,Not Happy
10000242,working fulltime,40,middle atlantic,$25000 or more,0,Once a week,Pretty Happy
10000243,working fulltime,46,middle atlantic,$25000 or more,0,Once a week,Very Happy
10000245,working fulltime,64,foreign,$25000 or more,0,2 - 3 times a month,Not Happy
10000247,working fulltime,44,middle atlantic,$25000 or more,0,Never,Pretty Happy
10000249,working fulltime,44,middle atlantic,$25000 or more,0,Occassional,Very Happy
10000252,working fulltime,41,middle atlantic,$25000 or more,1,2 - 3 times a month,Pretty Happy
10000255,working fulltime,30,foreign,$25000 or more,0,Never,Pretty Happy
10000256,working parttime,42,middle atlantic,$8000 to 9999,1,2 - 3 times a month,Not Happy
